GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transit-fare-calculator,com.littlepay.fare.exception,FareCalculatorException,0,16,0,0,0,8,0,4,0,4
transit-fare-calculator,com.littlepay.fare.config,FareConfig,0,3,0,0,0,1,0,1,0,1
transit-fare-calculator,com.littlepay.fare.config,FareConfig.FareMapping,0,24,0,0,0,10,0,7,0,7
transit-fare-calculator,com.littlepay.fare.config,AppConfig,0,17,0,0,0,4,0,4,0,4
transit-fare-calculator,com.littlepay.fare.service,TripService,12,482,4,16,2,104,4,17,0,11
transit-fare-calculator,com.littlepay.fare.service,FareService,0,60,0,2,0,16,0,4,0,3
transit-fare-calculator,com.littlepay.fare.service,TapService,0,137,0,2,0,37,0,5,0,4
transit-fare-calculator,com.littlepay,FareCalculatorApp,14,12,0,0,5,5,1,3,1,3
transit-fare-calculator,com.littlepay.fare.manager,TripFareManager,0,97,0,2,0,16,0,7,0,6
transit-fare-calculator,com.littlepay.fare.dto,TapRecord,0,40,0,0,0,1,0,1,0,1
transit-fare-calculator,com.littlepay.fare.dto,TripRecord,0,55,0,0,0,1,0,1,0,1
